fe,-38.378565,144.7798818,
ec,-38.362466,144.775571,
ab0,-38.40092327,144.8125721,
ih,-38.379989,144.805307,
ia,-38.369744,144.808556,
hi,-38.3666,144.798254,
hf,-38.36951524,144.8046172,
gg,-38.374272,144.794554,
gf,-38.371614,144.795025,
gb,-38.3675787,144.7889175,
ga,-38.3644426,144.7883258,
ffA,-38.37420191,144.7798996,
ee,-38.365292,144.774557,
de,-38.358886,144.768375,
d0,-38.359641,144.760498,
bi,-38.3494633,144.7502317,
bh,-38.3483728,144.7551964,
afc,-38.37031,144.87696,
af,-38.3412399,144.7308223,
aec,-38.3700707,144.8745645,
ae0,-38.37267266,144.8616164,
adg,-38.373556,144.853193,
adaA,-38.38382486,144.8462616,
ad,-38.326778,144.7338789,
acg,-38.37881655,144.835899,
ace,-38.3731788,144.8303949,
acb,-38.381394,144.818633,
aca,-38.38307154,144.8218869,
abh,-38.378994,144.832293,
abg,-38.38378786,144.8327293,
aag,-38.39657823,144.8009903,
ii,-38.38453615,144.8023095,
ig,-38.379524,144.808552,
if,-38.378846,144.811244,
ie,-38.375036,144.813331,
id,-38.3748512,144.8186835,
ic,-38.372035,144.816159,
ib,-38.371772,144.812475,
i0,-38.365988,144.7953747,
i,-38.3327883,144.7158017,
hh,-38.370095,144.79921,
hg,-38.37024065,144.8018712,
he,-38.373166,144.804631,
hd,-38.376764,144.804358,
hc,-38.3757339,144.8014361,
hb,-38.377257,144.800813,
ha,-38.37697471,144.7975992,
h0,-38.3784068,144.7888896,
h,-38.3303517,144.71815,
gi,-38.37733299,144.7925222,
gh,-38.3750683,144.790971,
ge,-38.3732826,144.7915298,
gd,-38.3720513,144.7897155,
gc,-38.370135,144.791799,
gA,-38.32637287,144.7195113,
g0,-38.3673465,144.7830549,
fi,-38.3699361,144.7848427,
fh,-38.3743909,144.7834729,
fg,-38.3820127,144.7826415,
ff,-38.3761782,144.7836624,
fd,-38.3762378,144.7773874,
fc,-38.373025,144.7798634,
fb,-38.3755226,144.7738708,
fa,-38.3708569,144.7765109,
f0,-38.368475,144.77877,
f,-38.321539,144.7145316,
ei,-38.37132,144.773228,
eh,-38.37296309,144.7700984,
eg,-38.37051733,144.7691445,
ef,-38.367618,144.772862,
ed,-38.363817,144.7787,
eb,-38.361795,144.773008,
eaA,-38.35988053,144.7654763,
e0,-38.36600624,144.770112,
e,-38.3191083,144.7060417,
di,-38.366627,144.767126,
dh,-38.3682363,144.7663316,
dg,-38.366155,144.763495,
df,-38.36517,144.767443,
dd,-38.357278,144.764593,
dc,-38.36055,144.763355,
db,-38.361598,144.762715,
da,-38.358384,144.758604,
d,-38.3239001,144.7084798,
ci,-38.364097,144.759417,
ch,-38.3622681,144.7557479,
cg,-38.362,144.755018,
cf,-38.352955,144.7449583,
ce,-38.35649,144.750004,
cd,-38.3574564,144.7539256,
cc,-38.35470747,144.7596772,
cb,-38.3505696,144.7577499,
ca,-38.35389032,144.7567405,
c0,-38.351873,144.753343,
c,-38.330481,144.7111494,
bg,-38.3463571,144.7499436,
bf,-38.3454865,144.7484543,
be,-38.3444108,144.7465301,
bd,-38.3480298,144.7458815,
bc,-38.3477016,144.7389932,
bb,-38.3416017,144.7420733,
ba,-38.342845,144.7381433,
b0,-38.34520172,144.7351384,
b,-38.3278433,144.7078239,
ai,-38.3383344,144.7338609,
ah,-38.3367033,144.7285983,
age,-38.38651186,144.7943499,
agd,-38.37044122,144.7845605,
agc,-38.40067371,144.8122252,
agb,-38.38981216,144.8125953,
agaA,-38.37879597,144.8524399,
aga,-38.37535591,144.8394238,
ag0,-38.37071309,144.8826974,
ag,-38.33966064,144.7269592,
afi,-38.373243,144.885744,
afh,-38.375695,144.8829044,
afg,-38.3727946,144.879485,
aff,-38.3684043,144.8785321,
afe,-38.3738539,144.874198,
afb,-38.376264,144.877313,
afa,-38.3682546,144.8764952,
af0,-38.36436376,144.8864804,
aei,-38.36657135,144.8844779,
aeh,-38.365612,144.881545,
aegA,-38.36533292,144.8756315,
aeg,-38.36533292,144.8756315,
aef,-38.365123,144.875501,
aee,-38.36872327,144.8671089,
aedA,-38.36904224,144.8710835,
aebA,-38.37291917,144.8689117,
aeaA,-38.37291917,144.8689117,
ae,-38.3309394,144.7374358,
adi,-38.371341,144.844748,
adh,-38.370654,144.855603,
adfA,-38.37631367,144.8512086,
ade,-38.379557,144.850325,
add,-38.37901897,144.8556557,
adc,-38.380547,144.852226,
adb,-38.385549,144.841118,
ad0,-38.38638013,144.8490764,
aci,-38.384983,144.856011,
achA,-38.37535591,144.8394238,
acf,-38.37478842,144.8338331,
acd,-38.374953,144.824357,
acc,-38.37919189,144.8242384,
ac0,-38.38123247,144.8295123,
ac,-38.324339,144.7280126,
abi,-38.377075,144.828504,
abf,-38.385044,144.826514,
abe,-38.38462466,144.810177,
abd,-38.38353317,144.8074008,
abc,-38.383823,144.814647,
abb,-38.38597633,144.8173696,
abaA,-38.39720196,144.8135758,
abA,-38.3229397,144.7235747,
aai,-38.40245926,144.8107013,
aah,-38.39751134,144.8092067,
aaf,-38.392886,144.798044,
aae,-38.391401,144.802478,
aad,-38.39308364,144.8071706,
aac,-38.39216875,144.8167332,
aab,-38.389277,144.81287,
aaa,-38.38853679,144.8048933,
aa0,-38.38864,144.798729,
aa,-38.3284806,144.7257502,
a0i,-38.390016,144.793961,
a0h,-38.386719,144.794598,
a0g,-38.38707,144.791531,
a0f,-38.383974,144.786057,
a0e,-38.380744,144.787427,
a0d,-38.381991,144.791504,
a0c,-38.380563,144.795445,
a0b,-38.384024,144.794199,
a0a,-38.383173,144.79784,
a00,-38.38335476,144.8021147,
a0,-38.3333783,144.724435,
a,-38.3294246,144.7044567,
